company;language;report_type;year;link
TX Group AG;DE;AR;2001;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2001_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2002;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2002_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2003;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2003_geschaeftsbericht_de.pdf"
TX Group AG;DE;FR;2003;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2003_geschaeftsbericht_finanzteil_de.pdf"
TX Group AG;DE;FR;2004;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2004_geschaeftsbericht_finanzteil_de.pdf"
TX Group AG;DE;FR;2005;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2005_geschaeftsbericht_finanzteil_de.pdf"
TX Group AG;DE;FR;2006;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2006_geschaeftsbericht_finanzteil_de.pdf"
TX Group AG;DE;AR;2007;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2007_geschaeftsbericht_finanzteil_de.pdf"
TX Group AG;DE;AR;2008;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2008_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2009;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2009_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2010;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2010_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2011;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2011_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2012;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2012_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2013;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2013_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2014;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2014_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2015;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2015_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2016;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2016_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2017;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2017_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2018;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2018_geschaeftsbericht_de.pdf"
TX Group AG;DE;AR;2019;"https://tx.group/tl_files/content/Group/Investor%20Relations/Deutsch/2019_geschaeftsbericht_de.pdf"
